,0,1,2,3
96,5.7,2.9,4.2,1.3
105,7.6,3.0,6.6,2.1
66,5.6,3.0,4.5,1.5
0,5.1,3.5,1.4,0.2
122,7.7,2.8,6.7,2.0
67,5.8,2.7,4.1,1.0
28,5.2,3.4,1.4,0.2
40,5.0,3.5,1.3,0.3
44,5.1,3.8,1.9,0.4
60,5.0,2.0,3.5,1.0
123,6.3,2.7,4.9,1.8
24,4.8,3.4,1.9,0.2
25,5.0,3.0,1.6,0.2
23,5.1,3.3,1.7,0.5
94,5.6,2.7,4.2,1.3
39,5.1,3.4,1.5,0.2
95,5.7,3.0,4.2,1.2
117,7.7,3.8,6.7,2.2
47,4.6,3.2,1.4,0.2
97,6.2,2.9,4.3,1.3
113,5.7,2.5,5.0,2.0
33,5.5,4.2,1.4,0.2
138,6.0,3.0,4.8,1.8
101,5.8,2.7,5.1,1.9
62,6.0,2.2,4.0,1.0
84,5.4,3.0,4.5,1.5
148,6.2,3.4,5.4,2.3
53,5.5,2.3,4.0,1.3
5,5.4,3.9,1.7,0.4
93,5.0,2.3,3.3,1.0
111,6.4,2.7,5.3,1.9
49,5.0,3.3,1.4,0.2
35,5.0,3.2,1.2,0.2
80,5.5,2.4,3.8,1.1
77,6.7,3.0,5.0,1.7
34,4.9,3.1,1.5,0.2
114,5.8,2.8,5.1,2.4
7,5.0,3.4,1.5,0.2
43,5.0,3.5,1.6,0.6
70,5.9,3.2,4.8,1.8
98,5.1,2.5,3.0,1.1
120,6.9,3.2,5.7,2.3
83,6.0,2.7,5.1,1.6
134,6.1,2.6,5.6,1.4
135,7.7,3.0,6.1,2.3
89,5.5,2.5,4.0,1.3
8,4.4,2.9,1.4,0.2
13,4.3,3.0,1.1,0.1
119,6.0,2.2,5.0,1.5
125,7.2,3.2,6.0,1.8
3,4.6,3.1,1.5,0.2
17,5.1,3.5,1.4,0.3
38,4.4,3.0,1.3,0.2
72,6.3,2.5,4.9,1.5
136,6.3,3.4,5.6,2.4
6,4.6,3.4,1.4,0.3
112,6.8,3.0,5.5,2.1
100,6.3,3.3,6.0,2.5
2,4.7,3.2,1.3,0.2
63,6.1,2.9,4.7,1.4
54,6.5,2.8,4.6,1.5
126,6.2,2.8,4.8,1.8
50,7.0,3.2,4.7,1.4
115,6.4,3.2,5.3,2.3
46,5.1,3.8,1.6,0.2
139,6.9,3.1,5.4,2.1
61,5.9,3.0,4.2,1.5
147,6.5,3.0,5.2,2.0
79,5.7,2.6,3.5,1.0
59,5.2,2.7,3.9,1.4
91,6.1,3.0,4.6,1.4
41,4.5,2.3,1.3,0.3
58,6.6,2.9,4.6,1.3
90,5.5,2.6,4.4,1.2
48,5.3,3.7,1.5,0.2
88,5.6,3.0,4.1,1.3
107,7.3,2.9,6.3,1.8
124,6.7,3.3,5.7,2.1
21,5.1,3.7,1.5,0.4
57,4.9,2.4,3.3,1.0
144,6.7,3.3,5.7,2.5
129,7.2,3.0,5.8,1.6
37,4.9,3.6,1.4,0.1
140,6.7,3.1,5.6,2.4
1,4.9,3.0,1.4,0.2
52,6.9,3.1,4.9,1.5
130,7.4,2.8,6.1,1.9
103,6.3,2.9,5.6,1.8
99,5.7,2.8,4.1,1.3
116,6.5,3.0,5.5,1.8
87,6.3,2.3,4.4,1.3
74,6.4,2.9,4.3,1.3
121,5.6,2.8,4.9,2.0
149,5.9,3.0,5.1,1.8
20,5.4,3.4,1.7,0.2
71,6.1,2.8,4.0,1.3
106,4.9,2.5,4.5,1.7
14,5.8,4.0,1.2,0.2
92,5.8,2.6,4.0,1.2
102,7.1,3.0,5.9,2.1
