,title,url,rating,no_ratings,desc,price
0,Best of Ubud Tour with Jungle Swing,/AttractionProductReview-g608496-d12955335-Best_of_Ubud_Tour_with_Jungle_Swing-Tabanan_Bali.html,5,865,"Hit the Ubud highlights in just a day, without the self-drive risks or group delays, on this private guided tour. Traveling direct from your door, see two signature temples—Ubud Monkey Forest, with its cheeky","2,611.78"
1,Bali Full-Day Traditional Village Sightseeing Trip with Lunch,/AttractionProductReview-g1219108-d11456045-Bali_Full_Day_Traditional_Village_Sightseeing_Trip_with_Lunch-Ungasan_Nusa_Dua_Pe.html,5,"1,154","This sightseeing tour is for travelers looking to make the most of their time in Bali: This full-day excursion lets you tick off the majority of Bali’s highlights in just one day, making it the perfect choice for","2,089.43"
2,Bali Day Tour - Exploring The Most Scenic Spots,/AttractionProductReview-g469404-d15696676-Bali_Day_Tour_Exploring_The_Most_Scenic_Spots-Seminyak_Kuta_District_Bali.html,5,327,"Home to the colorfull a part of Bali most travelers never see.After picking you up from your hotel in our air conditioned van, we’ll usually recommend the first stop at Lempuyang Temple (Gate to Heaven) It's one of","1,619.31"
3,Ubud - Jungle Swing - Monkey Forest - Waterfall - Water Temple - FREE...,/AttractionProductReview-g469404-d16741326-Ubud_Jungle_Swing_Monkey_Forest_Waterfall_Water_Temple_FREE_Wi_Fi-Seminyak_Kuta_Di.html,5,73,Panning your tour of highlights can be difficult when you have a limited timeframe: this action-packed experience makes it simple. Enjoy a private chauffeur service and be free to visit incredible spots: get up,565.71
4,Bali Quad Bike Adventure,/AttractionProductReview-g608496-d11464623-Bali_Quad_Bike_Adventure-Tabanan_Bali.html,5,270,"The wild jungle trails, bamboo forests, and rice paddies of rural Bali are a world away from the coastal beach resorts, and the most adventurous way to explore them is by all-terrain vehicle. On this quad bike tour,","2,193.90"
5,Ubud Private Tour - Best of Ubud,/AttractionProductReview-g469404-d15142407-Ubud_Private_Tour_Best_of_Ubud-Seminyak_Kuta_District_Bali.html,5,338,"If you’re visiting Ubud for the first time, get your bearings on a private tour that allows you to customize your itinerary according to your interests. As well as beating the heat in an air-conditioned car, benefit",574.59
6,Gate of Heaven - East Bali Tour,/AttractionProductReview-g608496-d14801730-Gate_of_Heaven_East_Bali_Tour-Tabanan_Bali.html,5,204,"The Gates of Heaven at Lempuyang Temple frame Mt. Agung volcano, creating a scene that’s an Instagram must. Get there early, with a private driver/guide to help with photography, on this door-to-door east Bali tour.",720.85
7,Nusa Penida Island Beach Tour,/AttractionProductReview-g469404-d15303645-Nusa_Penida_Island_Beach_Tour-Seminyak_Kuta_District_Bali.html,5,213,"Penida Island, just off Bali, is known for its rugged cliffs and golden beaches. Put a shine on your social feeds with this private tour. Skip the planning hassles and relax, with fast boat transfers and a","3,134.14"
8,Private Bali Car Hire with Chauffeur,/AttractionProductReview-g608496-d11455712-Private_Bali_Car_Hire_with_Chauffeur-Tabanan_Bali.html,5,331,Left-side driving is the least of your worries when navigating Bali’s chaotic roads. Let a professional take the strain while you relax and pick the destinations with this full-day car hire that includes a private,470.12
9,Private Arrival Transfer: Bali Airport to Hotel,/AttractionProductReview-g469404-d14151698-Private_Arrival_Transfer_Bali_Airport_to_Hotel-Seminyak_Kuta_District_Bali.html,4.5,28,"Begin your Bali Vacation with the right start, with a comfortable and convenience private arrival transfer service from Ngurah Rai International Airport to your hotel or private residence",574.59
10,Bali Snorkeling Tour At Blue Lagoon All-inclusive,/AttractionProductReview-g469404-d13204545-Bali_Snorkeling_Tour_At_Blue_Lagoon_All_inclusive-Seminyak_Kuta_District_Bali.html,5,303,"Blue Lagoon in Padangbai, east Bali, takes its name from the turquoise waters that lap at its white sand. But the coral here is home to fascinating creatures from moray eels and clownfish to colorful but camouflaged","1,514.83"
11,Private Tour : Nusa Penida Day Trip All-inclusive,/AttractionProductReview-g469404-d16661371-Private_Tour_Nusa_Penida_Day_Trip_All_inclusive-Seminyak_Kuta_District_Bali.html,5,151,"If you check the Bali tag on Instagram, Penida Island is hard to miss. See the best of this undeveloped isle in just a day on this convenient all-inclusive package, with private transfers from your hotel to the fast","3,656.50"
12,Bali White Water Rafting Adventure,/AttractionProductReview-g608496-d11468436-Bali_White_Water_Rafting_Adventure-Tabanan_Bali.html,5,94,"If you’re looking for adventure in Ubud, white water rafting should be high on your agenda, and unless you have your own wheels, a package makes economic sense. This cost-effective tour includes a welcome drink,",783.54
13,Individual Route - Private Driver - FREE Wi-Fi,/AttractionProductReview-g469404-d17428305-Individual_Route_Private_Driver_FREE_Wi_Fi-Seminyak_Kuta_District_Bali.html,5,39,"Book an individual tour with a private driver and choose your route. A professional driver will easily find the best way in tangled roads, where sometimes even Google Maps are powerless. Left-side traffic and stress",454.45
14,Tanah Lot - Jatiluwih (UNESCO) - Ulun Danu Temple - Handara Gate...,/AttractionProductReview-g469404-d16748901-Tanah_Lot_Jatiluwih_UNESCO_Ulun_Danu_Temple_Handara_Gate_FREE_Wi_Fi-Seminyak_Kuta_.html,5,43,"Spend the day traveling around some of Bali’s isolated highlights without worrying about how you’ll get around. Drive around the island in an air-conditioned vehicle, your private driver behind the wheel, and stop",609.59
15,Half-Day Electric Bike Tour of Ubud,/AttractionProductReview-g608496-d11475837-Half_Day_Electric_Bike_Tour_of_Ubud-Tabanan_Bali.html,5,423,"The rice paddies, historic temples, and rural villages around Ubud make an idyllic backdrop for a cycling adventure. On this tour, make easy work of Bali’s steep hills with an electric bike, stopping along the way","2,246.13"
16,"Best of Ubud: Monkey Forest, Temple, Rice Terrace, Waterfall and...",/AttractionProductReview-g608496-d14767477-Best_of_Ubud_Monkey_Forest_Temple_Rice_Terrace_Waterfall_and_Coffee_Tour-Tabanan_B.html,5,52,"Tour some of Bali's most beautiful and interesting must-visit sites on this convenient tour. As it's a private tour you can spend more or less time wherever you wish, but the itinerary includes highlights like the","1,567.07"
17,Mount Batur Sunrise Hiking and Coffee Plantation Tour,/AttractionProductReview-g1219108-d11456046-Mount_Batur_Sunrise_Hiking_and_Coffee_Plantation_Tour-Ungasan_Nusa_Dua_Peninsula_.html,4.5,120,"There’s no better time to see the Kintamani Volcano at Mount Batur than during sunrise, when orange light disperses the mist surrounding the mountain. If you’re an active traveler with a good level of fitness, opt","2,089.43"
18,Taro Elephant Sanctuary with Ubud Jungle Swing,/AttractionProductReview-g608496-d16860642-Taro_Elephant_Sanctuary_with_Ubud_Jungle_Swing-Tabanan_Bali.html,5,78,This is a rare experience to combine the elephant sanctuary with other interesting places in Ubud in one day tour. The tour will be full of fun with some local insight delivered by our knowledgeable tour guide. In,"3,395.32"
19,Snorkelling Day Trip From Bali To Nusa Lembongan and Penida (With...,/AttractionProductReview-g12948593-d15194112-Snorkelling_Day_Trip_From_Bali_To_Nusa_Lembongan_and_Penida_With_Island_Tour-Ped.html,4,19,"Get off Bali for the day on a tour to Nusa Lembongan and Nusa Penida, two smaller islands off Bali's southeast coast. You'll visit three different locations for snorkeling, such as Manta Bay, Crystal Bay, and","3,343.08"
20,Mount Batur Sunrise Trekking Private Tours,/AttractionProductReview-g608496-d15305503-Mount_Batur_Sunrise_Trekking_Private_Tours-Tabanan_Bali.html,5,29,"In Bali, there are few better sunrise-viewing points than the summit of Mt. Batur, an active volcano and one of the highest mountains on the island. Catch sunrise at the summit with the help and support of a private","2,089.43"
21,Best Beaches - GWK - Uluwatu Temple - Insta Spots - FREE Wi-Fi,/AttractionProductReview-g469404-d16748903-Best_Beaches_GWK_Uluwatu_Temple_Insta_Spots_FREE_Wi_Fi-Seminyak_Kuta_District_Bali.html,5,30,"Enjoy a sunkissed day at some of the beautiful and popular beaches along Bali’s coast, all without worrying about how you’ll get from beach to beach. Swim, sunbathe and snap plenty of photos at scenic beaches like",391.77
22,Full Day : Gate of Heaven Temple And Blue Lagoon Snorkeling With...,/AttractionProductReview-g608496-d16810459-Full_Day_Gate_of_Heaven_Temple_And_Blue_Lagoon_Snorkeling_With_Tirta_Gangga-Tabana.html,5,121,"See the best of Eastern Bali on this private, full-day nature tour. Ascend into the hills to view the popular Gate of Heaven Temple overlooking Agung mountain, the biggest volcano in Bali. Delve into Balinese","1,305.89"
23,Ubud Hot Spring Waterfall Private Tour - Free WiFi,/AttractionProductReview-g469404-d13131138-Ubud_Hot_Spring_Waterfall_Private_Tour_Free_WiFi-Seminyak_Kuta_District_Bali.html,5,163,"The green landscapes around Ubud are some of Bali’s most beautiful. Skip the self-drive strains and relax on this comprehensive door-to-door tour, just for you and your group. Soak in hot springs and splash in a","1,567.07"
24,One day Komodo trip with Bintang Komodo Tours,/AttractionProductReview-g15240293-d17162347-One_day_Komodo_trip_with_Bintang_Komodo_Tours-Liang_Ndara_East_Nusa_Tenggara.html,5,14,One day Komodo tour is a group tour that starts early in the morning returning back to Labuan Bajo late in the afternoon. We will pick you up at your hotel and transfer you to the jetty. Then the boat will take you,"6,187.33"
25,Bali Nusa Penida Tour,/AttractionProductReview-g469404-d15854840-Bali_Nusa_Penida_Tour-Seminyak_Kuta_District_Bali.html,5,89,Take a break from the tourist crowds on Bali and head south to the isolated Nusa Penida on this full-day excursion. Take a speedboat out from the mainland to Nusa Penida and spend the day exploring its local,"2,902.21"
26,Full-Day Private Design-Your-Own Tour of Bali,/AttractionProductReview-g608496-d12976065-Full_Day_Private_Design_Your_Own_Tour_of_Bali-Tabanan_Bali.html,5,37,Enjoy the freedom to build your own itinerary but none of the dangers of self-driving Bali on this private build-your-own day tour for up to five travelers. Meet your driver/guide in your hotel lobby and plan out a,574.59
27,Tanah Lot & Bedugul Private Tour,/AttractionProductReview-g608496-d14801731-Tanah_Lot_Bedugul_Private_Tour-Tabanan_Bali.html,5,166,"Discover the significant spiritual and historical sites in Bali on this all-day private guided tour. First, stop at Tanah Lot, the famous Hindu temple that stands on solid sea rock. Plus, head to Jatiluwih Green",679.06
28,All Ticket Inclusive : Lempuyang Temple with Blue Lagoon Snorkeling,/AttractionProductReview-g608496-d17400530-All_Ticket_Inclusive_Lempuyang_Temple_with_Blue_Lagoon_Snorkeling-Tabanan_Bali.html,5,119,Spending a day tour to descovering the beauty of bali and instagrammable place Bali gate of heaven (lempuyang temple ) with blue lagoon snorkeling. Facing to the biggest Bali active volcano as well known Agung,"1,828.25"
29,Bali Ubud Paon Cooking Class,/AttractionProductReview-g608496-d15616080-Bali_Ubud_Paon_Cooking_Class-Tabanan_Bali.html,5,13,"If you’ve tried Bali’s unique cuisine while traveling to the island and want to be able to recreate it back home, this Balinese cooking class is an ideal activity for you. Visit a local market to shop for fresh","1,567.07"
30,Bali Quad Biking and White Water Rafting,/AttractionProductReview-g469404-d13454186-Bali_Quad_Biking_and_White_Water_Rafting-Seminyak_Kuta_District_Bali.html,4.5,76,"Enjoy the classic Bali adventure combo with none of the self-drive hassles on this adrenaline-filled day out. First, raft the unspoiled Ayung River with a professional rafting guide, then enjoy a buffet lunch with","3,395.32"
31,One Day Nusa Penida Island West & East,/AttractionProductReview-g12948593-d15678885-One_Day_Nusa_Penida_Island_West_East-Ped_Nusa_Penida_Bali.html,5,28,"Nusa Penida is an island off the coast of Bali known for its rainforested hills and crystal clear water. This full-day tour takes visitors to the island’s top attractions, combining intrepid treks with relaxing","2,089.43"
32,1- day Komodo island Tour hopping around by Speed Boat,/AttractionProductReview-g15240293-d16654713-1_day_Komodo_island_Tour_hopping_around_by_Speed_Boat-Liang_Ndara_East_Nusa_Teng.html,4,15,"Komodo island is a world heritage site, home to the world’s largest lizards or ‘dragons’. Its scenic landscape of hilly savannahs are as beautiful as its beautiful reefs under its calm waves, making it one of","6,424.99"
33,Best Culture Bike Tour in Bali,/AttractionProductReview-g608496-d13960797-Best_Culture_Bike_Tour_in_Bali-Tabanan_Bali.html,5,132,"Discover Bali on two wheels on a bike tour through the countryside. Starting from Kintamani, you'll ride downhill, away from the crowds, passing by villages and rice terraces. Stop along the way to hear about","1,731.61"
34,Mount Batur Volcano - Sunrise Trekking Tour with Breakfast,/AttractionProductReview-g469404-d11472662-Mount_Batur_Volcano_Sunrise_Trekking_Tour_with_Breakfast-Seminyak_Kuta_District_Ba.html,5,315,"Mount Batur is one of Bali’s most active volcanoes, and trekking to the summit is a popular challenge for hikers. On this tour, rise early to undertake a thrilling moonlight climb, watch the sunrise from the top of","2,089.43"
35,Half-Day Fat Tire Electric Bike Tour from Ubud,/AttractionProductReview-g608496-d11991797-Half_Day_Fat_Tire_Electric_Bike_Tour_from_Ubud-Tabanan_Bali.html,5,171,"Cycling is a wonderful way to discover Ubud’s rice fields—but the right bike matters. On this Ubud bike tour, enjoy fat tires, tailor-made for broken paths, and an electric motor for those pesky hills. Travel along","2,193.90"
36,Traditional Balinese Cooking Class & Meal in a Multi-Generational...,/AttractionProductReview-g608496-d14083953-Traditional_Balinese_Cooking_Class_Meal_in_a_Multi_Generational_Family_Home-Tabana.html,5,63,"Live like a local among the locals with this private hands-on cooking lesson. Join your host, Putu, her grandparents, her husband, and their children for lunch or dinner in their traditional compound home. Learn","2,298.37"
